Action_or_Object,Pic_Num,Dominant_Response,Registered_Resp,Missing_or_Not_Reg_Resp,Not_Reg_Resp,Alternative_Names,Agreement_Factor,Dominant_Resp,Sim_Offshoot_Resp,Synonym_Resp,Error_Valid_Resp,Mean_RT_All,SD_RT_All,Mean_RT_Dominant,SD_RT_Dominant,Mean_RT_Sim_Offshoots,Mean_RT_Synonym,Mean_RT_Error,Syllable_Count,Character_Count,Fricative_First_Syl,Word_Freq_in_English,Word_Sophistication,Visual_Complexity,Word_Partial_Repeats,Word_Complexity,Num_Objects,Keep
Object,obj217,iron,1,0,0,1,0,1,0,0,0,856,229,856,229,NA,NA,NA,2,4,Absent,4.277,3,16843,0,Singular,1,TRUE
Object,obj218,ironingboard,1,0,0,5,0.661,0.9,0.08,0,0.02,1110,321,1105,334,1192,NA,976,4,12,Absent,0,3,12848,0,Complex,1,FALSE
Object,obj219,jack,0.82,0.14,0.04,6,0.997,0.854,0.073,0,0.073,1635,554,1512,434,2466,NA,2243,1,4,Present,1.946,3,11170,0,Singular,3,FALSE
Object,obj220,jacket,0.96,0,0.04,3,0.519,0.917,0,0.063,0.021,924,273,881,201,NA,1237,1848,2,6,Present,3.761,1,30351,0,Singular,1,FALSE
Object,obj221,jar,0.98,0,0.02,3,0.567,0.898,0,0,0.102,1064,451,979,296,NA,NA,1812,1,3,Present,2.996,2,7664,0,Singular,2,TRUE
Object,obj222,puzzle,1,0,0,2,0.141,0.98,0.02,0,0,866,225,866,228,858,NA,NA,2,6,Absent,2.303,2,46171,0,Singular,5,TRUE
Object,obj223,jumprope,1,0,0,3,0.764,0.84,0.16,0,0,1112,323,1111,322,1117,NA,NA,2,8,Present,0,3,11207,0,Complex,1,TRUE
Object,obj224,kangaroo,1,0,0,1,0,1,0,0,0,856,197,856,197,NA,NA,NA,3,8,Absent,1.386,3,14555,0,Singular,1,TRUE
Object,obj225,key,0.88,0.02,0.1,1,0.162,1,0,0,0,738,121,738,121,NA,NA,NA,1,3,Absent,4.466,1,7493,0,Singular,1,TRUE
Object,obj226,king,0.98,0,0.02,1,0.029,1,0,0,0,898,276,898,276,NA,NA,NA,1,4,Absent,4.605,3,31165,0,Singular,3,TRUE
Object,obj227,kite,1,0,0,1,0,1,0,0,0,796,239,796,239,NA,NA,NA,1,4,Absent,1.792,3,17880,0,Singular,1,TRUE
Object,obj228,knife,0.96,0,0.04,1,0.057,1,0,0,0,816,222,816,222,NA,NA,NA,1,5,Absent,3.807,2,8773,0,Singular,1,TRUE
Object,obj229,knight,0.86,0.1,0.04,4,0.77,0.884,0,0,0.116,1333,445,1318,454,NA,NA,1448,1,6,Absent,2.639,3,15019,0,Singular,4,TRUE
Object,obj230,knot,0.94,0.02,0.04,4,1.473,0.617,0,0,0.383,1176,315,1122,289,NA,NA,1263,1,4,Absent,2.708,3,12224,0,Singular,1,FALSE
Object,obj231,ladder,1,0,0,1,0,1,0,0,0,988,345,988,345,NA,NA,NA,2,6,Absent,2.833,2,25701,0,Singular,1,TRUE
Object,obj232,ladle,0.94,0.02,0.04,2,1.016,0.553,0,0,0.447,1248,410,1212,326,NA,NA,1292,2,5,Absent,0.693,3,6129,0,Singular,1,FALSE
Object,obj233,ladybug,0.96,0.02,0.02,3,1.225,0.667,0,0,0.333,1120,359,1164,303,NA,NA,1031,3,7,Absent,0,3,10682,0,Complex,1,TRUE
